Order ID,Product_Category,Shipping_Mode,Order Value,Package_Weight_Kg,Warehouse Distance Km,Items in Order,Warehouse_Processing_Hours,Courier_Load_Index,Traffic Index,Delivery_Time_Hours
ORD-10001,Office Supplies,Standard,73.58,3.3,253,5,9.8,0.77,0.93,14.3
ORD-10002,Books,Express,69.51,1.8,253,6,3.1,1.18,1.52,10.7
ORD-10003,Apparel,Standard,202.12,0.3,431,1,15.6,0.84,1.01,24.7
ORD-10004,Toys & Games,Standard,95.15,3.0,520,2,6.4,1.25,1.6,32.4
ORD-10005,Health & Beauty,Express,109.78,0.8,466,3,4.7,0.91,1.09,12.4
ORD-10006,Electronics,Standard,799.49,6.7,698,4,12.2,1.32,1.68,50.9
ORD-10007,Sports & Outdoors,Standard,219.52,6.2,787,5,15.1,0.98,1.17,37.7
ORD-10008,Home & Kitchen,Express,269.99,10.9,59,6,2.2,1.39,1.76,4.6
ORD-10009,Office Supplies,Standard,50.9,3.3,965,1,8.8,1.05,1.25,40.5
ORD-10010,Books,Same Day,26.87,2.2,55,2,2.1,0.71,1.84,4.5
ORD-10011,Apparel,Economy,186.36,0.3,1356,3,20.2,1.12,1.33,101.0
ORD-10012,Toys & Games,Standard,61.99,0.7,182,4,5.4,0.78,1.92,12.2
ORD-10013,Health & Beauty,Express,72.82,1.0,414,5,3.5,1.19,1.41,15.1
ORD-10014,Electronics,Economy,825.05,2.3,365,6,15.2,0.85,0.9,26.4
ORD-10015,Sports & Outdoors,Standard,163.04,2.4,449,1,14.1,1.26,1.49,35.2
ORD-10016,Home & Kitchen,Express,117.87,7.3,627,2,5.1,0.92,0.98,14.5
ORD-10017,Office Supplies,Economy,27.22,3.3,674,3,10.2,1.33,1.57,66.5
ORD-10018,Books,Standard,48.23,2.6,716,4,10.7,0.99,1.06,29.5
ORD-10019,Apparel,Express,170.6,0.3,220,5,2.6,1.4,1.65,11.1
ORD-10020,Toys & Games,Standard,27.83,1.9,894,6,4.4,1.06,1.14,31.4
ORD-10021,Health & Beauty,Standard,35.86,1.2,983,1,7.3,0.72,1.73,37.9
ORD-10022,Electronics,Express,851.61,3.9,433,2,4.2,1.13,1.22,14.1
ORD-10023,Sports & Outdoors,Standard,107.56,7.6,111,3,13.1,0.79,1.81,17.1
ORD-10024,Home & Kitchen,Standard,285.75,3.7,200,4,16.0,1.2,1.3,23.8
ORD-10025,Office Supplies,Express,89.54,3.3,646,5,1.7,0.86,1.89,19.2
ORD-10026,Books,Standard,70.59,0.5,378,6,9.7,1.27,1.38,26.3
ORD-10027,Apparel,Standard,154.84,0.3,467,1,12.6,0.93,0.87,22.0
ORD-10028,Toys & Games,Express,103.67,3.1,239,2,3.3,1.34,1.46,11.1
ORD-10029,Health & Beauty,Standard,93.9,1.4,645,3,6.3,1.0,0.95,21.6
ORD-10030,Electronics,Same Day,127.17,5.5,27,4,2.5,1.41,1.54,4.5
ORD-10031,Sports & Outdoors,Economy,51.08,3.8,816,5,13.7,1.07,1.03,49.7
ORD-10032,Home & Kitchen,Standard,133.63,11.1,912,6,15.0,0.73,1.62,42.0
ORD-10033,Office Supplies,Express,66.86,3.3,594,1,4.6,1.14,1.11,17.1
